item_id,order_id,item_name,category,price
0,9876,Item_0,Sports,303.5540689202359
1,15146,Item_1,Electronics,393.27665383617915
2,4527,Item_2,Home,147.64709677542126
3,984,Item_3,Books,415.7973984840544
4,6441,Item_4,Home,270.1892969189605
5,2011,Item_5,Clothing,355.3218809928215
6,13808,Item_6,Sports,348.25857027632435
7,16882,Item_7,Electronics,447.6602406194925
8,9239,Item_8,Home,411.5476727755836
9,8400,Item_9,Books,437.90202052423075
10,6458,Item_10,Home,338.3939470728554
11,3776,Item_11,Home,65.14722583023698
12,12259,Item_12,Home,82.12638971434376
13,10762,Item_13,Books,412.3114709262837
14,7081,Item_14,Clothing,315.3805905065952
15,4339,Item_15,Books,20.346471682923365
16,1515,Item_16,Books,84.02272528073628
17,11757,Item_17,Home,439.3197425940283
18,228,Item_18,Sports,284.11311974659674
19,642,Item_19,Clothing,61.2170167811152
20,16523,Item_20,Sports,32.48570267686003
21,14275,Item_21,Home,499.718827976188
22,8064,Item_22,Books,151.2623776580784
23,6182,Item_23,Clothing,331.7422620316634
24,12539,Item_24,Home,167.71117627090905
25,1798,Item_25,Sports,382.25042192379675
26,6992,Item_26,Electronics,454.90256419733436
27,13684,Item_27,Books,239.8097252400301
28,4347,Item_28,Home,453.69845095921465
29,668,Item_29,Electronics,151.39425860218242
30,3274,Item_30,Books,341.4116227943025
31,7499,Item_31,Electronics,85.11736342509428
32,6846,Item_32,Home,130.653363689294
33,9354,Item_33,Clothing,410.5042267238722
34,15232,Item_34,Books,468.52887443654197
35,4237,Item_35,Home,362.2714847216663
36,8728,Item_36,Sports,82.3615094927003
37,11426,Item_37,Home,17.112602189818556
38,4007,Item_38,Sports,46.1947799831199
39,13267,Item_39,Home,167.17752457295268
40,7774,Item_40,Clothing,169.6622942347546
41,16505,Item_41,Clothing,26.255199652575108
42,12326,Item_42,Sports,493.29847738424377
43,1666,Item_43,Clothing,277.8174815910872
44,12664,Item_44,Clothing,30.178956875371746
45,8777,Item_45,Sports,339.4736355482702
46,10096,Item_46,Books,433.92757002155395
47,9989,Item_47,Home,132.26969029757606
48,11244,Item_48,Clothing,400.88630482324606
49,14499,Item_49,Electronics,443.6581786179849
50,14292,Item_50,Books,72.9001956574394
51,1477,Item_51,Clothing,209.8582457704418
52,2168,Item_52,Electronics,50.69498078658145
53,13875,Item_53,Home,15.611560990328627
54,8266,Item_54,Clothing,383.3115774701552
55,15850,Item_55,Electronics,45.50962550495571
56,8497,Item_56,Electronics,277.18034954654695
57,11909,Item_57,Clothing,246.40093699734598
58,17207,Item_58,Home,245.29855345099682
59,9232,Item_59,Clothing,447.09226224037684
60,11039,Item_60,Clothing,294.6107180658554
61,9369,Item_61,Home,478.8224876837419
62,6685,Item_62,Books,369.9588074347999
63,12650,Item_63,Sports,241.71842553563485
64,16031,Item_64,Clothing,67.54805978548754
65,16445,Item_65,Books,295.82403825438985
66,390,Item_66,Electronics,347.47223264121976
67,14073,Item_67,Sports,476.1713665059435
68,13125,Item_68,Books,153.91822476544235
69,17234,Item_69,Electronics,499.03710086783235
70,8294,Item_70,Home,35.67035679816628
71,17419,Item_71,Home,111.1184453472271
72,14718,Item_72,Home,487.0160404409673
73,15442,Item_73,Electronics,209.60862085032616
74,11313,Item_74,Electronics,493.38954373724516
75,11086,Item_75,Home,494.5037112739322
76,17480,Item_76,Books,152.54904564222852
77,3496,Item_77,Electronics,239.51261218454738
78,5584,Item_78,Clothing,108.04543021427351
79,8711,Item_79,Electronics,413.0684761223044
80,1843,Item_80,Electronics,73.8048988505103
81,1162,Item_81,Home,86.62389472855983
82,5259,Item_82,Home,403.7874028374976
83,17652,Item_83,Clothing,390.90156214384746
84,5938,Item_84,Home,396.8796056650193
85,1539,Item_85,Clothing,107.89259749797928
86,4892,Item_86,Clothing,358.9228449853983
87,7789,Item_87,Books,201.66108588426795
88,13815,Item_88,Clothing,328.71150609534806
89,6783,Item_89,Electronics,105.33559799129375
90,6222,Item_90,Home,459.52896962881977
91,16523,Item_91,Electronics,298.62161023872886
92,6703,Item_92,Home,380.4497336859049
93,12704,Item_93,Books,221.59518604481286
94,8674,Item_94,Home,426.58549869079627
95,5240,Item_95,Clothing,195.76273936398758
96,12019,Item_96,Home,149.78437631889767
97,17390,Item_97,Clothing,491.2769328851427
98,4209,Item_98,Books,247.01436949504478
99,17276,Item_99,Electronics,178.73194686847438
100,13772,Item_100,Home,282.5614039927701
101,1159,Item_101,Electronics,412.85483245456584
102,7034,Item_102,Sports,260.6550765408932
103,17149,Item_103,Books,263.3778260356541
104,5209,Item_104,Sports,264.8138902185741
105,5064,Item_105,Electronics,247.05191639208587
106,3229,Item_106,Clothing,350.4703398022628
107,5930,Item_107,Books,417.8429145399712
108,9613,Item_108,Sports,312.74914508910507
109,16400,Item_109,Clothing,163.74704690010373
110,11636,Item_110,Books,403.7528153455874
111,10950,Item_111,Home,55.99923149951597
112,6141,Item_112,Sports,193.57454293254563
113,9921,Item_113,Sports,413.40100993208506
114,7047,Item_114,Clothing,359.8205772063833
115,3557,Item_115,Books,484.25006082662617
116,11397,Item_116,Clothing,193.6362479953354
117,14657,Item_117,Home,320.5319364994866
118,8184,Item_118,Electronics,397.7054009330274
119,6273,Item_119,Books,256.8369379152678
120,17019,Item_120,Electronics,151.4261488339483
121,4316,Item_121,Home,63.05998279177143
122,3334,Item_122,Clothing,114.92498971986029
123,9902,Item_123,Sports,32.314621014196675
124,3101,Item_124,Books,137.07373908149432
125,8181,Item_125,Clothing,63.87102756878332
126,14800,Item_126,Electronics,21.54912348571264
127,16829,Item_127,Home,189.6847249612503
128,2990,Item_128,Clothing,242.66578274214768
129,16246,Item_129,Books,295.78296878888045
130,15120,Item_130,Sports,411.0818001084113
131,14321,Item_131,Electronics,33.44684930698443
132,16288,Item_132,Electronics,58.153437364496604
133,636,Item_133,Books,204.22505564815907
134,7081,Item_134,Books,304.48676331437133
135,16559,Item_135,Electronics,110.09073114998094
136,8765,Item_136,Electronics,109.07961243406295
137,5218,Item_137,Clothing,20.942371069035786
138,12402,Item_138,Electronics,292.34127747837323
139,2790,Item_139,Clothing,283.6018772368845
140,8357,Item_140,Home,257.90112475266903
141,12121,Item_141,Electronics,468.6761633149168
142,5876,Item_142,Home,243.10176963386724
143,2559,Item_143,Books,402.98721314521333
144,6812,Item_144,Home,190.08218402542408
145,8300,Item_145,Books,383.5714612223461
146,2918,Item_146,Books,412.1194310580649
147,5558,Item_147,Electronics,25.553361694848192
148,1083,Item_148,Electronics,64.48346482556137
149,4585,Item_149,Clothing,442.8012660251377
150,16577,Item_150,Clothing,243.12984432961025
151,4627,Item_151,Books,375.1250670959979
152,10085,Item_152,Electronics,309.0700011319083
153,12210,Item_153,Clothing,295.38325663879795
154,2769,Item_154,Sports,63.374919224547476
155,5353,Item_155,Books,16.738653121059578
156,15557,Item_156,Books,303.05608468789364
157,12854,Item_157,Sports,491.4804295835874
158,8789,Item_158,Electronics,316.9455431239547
159,15435,Item_159,Electronics,369.47177753593206
160,4421,Item_160,Electronics,33.52396064225978
161,5005,Item_161,Sports,453.17394864405395
162,5586,Item_162,Sports,323.5564777229034
163,2847,Item_163,Electronics,365.8805046259686
164,3929,Item_164,Sports,435.5367362594627
165,12969,Item_165,Home,333.74557424791
166,16222,Item_166,Books,70.43683722405285
167,4085,Item_167,Electronics,286.7639940458988
168,16787,Item_168,Electronics,92.37651122787513
169,6956,Item_169,Books,407.87998864443455
